transaction_id,date,description,amount,vendor,raw_category
TXN0030,09-12-2025,IKEA payment for office supplies herself,40883.12,IKEA,Office Supplies
TXN0031,09-12-2025,KSEB payment for utilities gun,16468.38,KSEB,Utilities
TXN0032,09-12-2025,Swiggy payment for meals national,10031.02,Swiggy,Meals
TXN0033,09-12-2025,Zomato payment for meals enter,23791.04,Zomato,Meals
TXN0034,09-12-2025,IndiQube payment for rent actually,9875.28,IndiQube,Rent
TXN0035,09-12-2025,Ola payment for travel break,34873.17,Ola,Travel
TXN0036,09-12-2025,Zomato payment for meals law,16314.59,Zomato,Meals
TXN0037,09-12-2025,IKEA payment for office supplies candidate,47490.11,IKEA,Office Supplies
TXN0038,09-12-2025,IKEA payment for office supplies save,37229.13,IKEA,Office Supplies
TXN0039,09-12-2025,Rapido payment for travel central,23516.24,Rapido,Travel
TXN0040,09-12-2025,IKEA payment for office supplies project,43597.22,IKEA,Office Supplies
TXN0041,09-12-2025,Awfis payment for rent pattern,12447.07,Awfis,Rent
TXN0042,09-12-2025,Staples payment for office supplies music,19959.71,Staples,Office Supplies
TXN0043,09-12-2025,IKEA payment for office supplies future,25579.48,IKEA,Office Supplies
TXN0044,09-12-2025,Ola payment for travel I,744.96,Ola,Travel
TXN0045,09-12-2025,Uber payment for travel yes,41273.24,Uber,Travel
TXN0046,09-12-2025,IndiQube payment for rent rise,631.17,IndiQube,Rent
TXN0047,09-12-2025,WeWork payment for rent close,12374.63,WeWork,Rent
TXN0048,09-12-2025,Swiggy payment for meals first,18583.6,Swiggy,Meals
TXN0049,09-12-2025,Rapido payment for travel just,38822.38,Rapido,Travel
TXN0050,09-12-2025,Zomato payment for meals she,9021.95,Zomato,Meals
TXN0051,09-12-2025,Canva payment for software body,41000.88,Canva,Software
TXN0052,09-12-2025,Adobe payment for software low,25133.44,Adobe,Software
TXN0053,09-12-2025,Rapido payment for travel option,10596.64,Rapido,Travel
TXN0054,09-12-2025,IKEA payment for office supplies generation,25600.1,IKEA,Office Supplies
TXN0055,09-12-2025,Swiggy payment for meals mission,48593.32,Swiggy,Meals
TXN0056,09-12-2025,Rapido payment for travel instead,30562.19,Rapido,Travel
TXN0057,09-12-2025,Awfis payment for rent control,47046.23,Awfis,Rent
TXN0058,09-12-2025,WeWork payment for rent bill,5461.8,WeWork,Rent
TXN0059,09-12-2025,Ola payment for travel when,37020.77,Ola,Travel
TXN0060,09-12-2025,Google Cloud payment for it services yes,23459.96,Google Cloud,IT Services
TXN0061,09-12-2025,JioFiber payment for utilities special,2150,JioFiber,Utilities
TXN0062,09-12-2025,Office Depot payment for office supplies store,25114.62,Office Depot,Office Supplies
TXN0063,09-12-2025,Dominos payment for meals me,19649.96,Dominos,Meals
TXN0064,09-12-2025,Awfis payment for rent Mrs,35306.85,Awfis,Rent
TXN0065,09-12-2025,Canva payment for software knowledge,48907,Canva,Software
TXN0066,09-12-2025,Rapido payment for travel small,23875.3,Rapido,Travel
TXN0067,09-12-2025,Ola payment for travel top,37792.92,Ola,Travel
TXN0068,09-12-2025,IKEA payment for office supplies huge,6163.38,IKEA,Office Supplies
TXN0069,09-12-2025,IKEA payment for office supplies Congress,29875.13,IKEA,Office Supplies
TXN0070,09-12-2025,Adobe payment for software effort,37993.49,Adobe,Software
TXN0071,09-12-2025,Dominos payment for meals view,37294.05,Dominos,Meals
TXN0072,09-12-2025,Swiggy payment for meals film,4041.65,Swiggy,Meals
TXN0073,09-12-2025,Staples payment for office supplies result,8309.58,Staples,Office Supplies
TXN0074,09-12-2025,Azure payment for it services over,26848.05,Azure,IT Services
TXN0075,09-12-2025,Ola payment for travel use,46532.62,Ola,Travel
TXN0076,09-12-2025,Figma payment for software PM,7133.63,Figma,Software
TXN0077,09-12-2025,AWS payment for it services away,40869.03,AWS,IT Services
TXN0078,09-12-2025,Zomato payment for meals money,23772.26,Zomato,Meals
TXN0079,09-12-2025,IKEA payment for office supplies drive,30051.78,IKEA,Office Supplies
TXN0080,09-12-2025,Rapido payment for travel finish,23725.81,Rapido,Travel
TXN0081,09-12-2025,Figma payment for software history,36467.69,Figma,Software
TXN0082,09-12-2025,Google Cloud payment for it services popular,17243.8,Google Cloud,IT Services
TXN0083,09-12-2025,Office Depot payment for office supplies language,5408.46,Office Depot,Office Supplies
TXN0084,09-12-2025,Airtel payment for utilities radio,23050.78,Airtel,Utilities
TXN0085,09-12-2025,Canva payment for software foot,26654.37,Canva,Software
TXN0086,09-12-2025,Awfis payment for rent himself,2086.61,Awfis,Rent
TXN0087,09-12-2025,Azure payment for it services lose,47389.84,Azure,IT Services
TXN0088,09-12-2025,Airtel payment for utilities sure,4417.65,Airtel,Utilities
TXN0089,09-12-2025,Canva payment for software recently,6872.08,Canva,Software
TXN0090,09-12-2025,Staples payment for office supplies adult,30418.5,Staples,Office Supplies
TXN0091,09-12-2025,Adobe payment for software strong,38113.22,Adobe,Software
TXN0092,09-12-2025,Dominos payment for meals forward,43324.75,Dominos,Meals
TXN0093,09-12-2025,Swiggy payment for meals also,26216.38,Swiggy,Meals
TXN0094,09-12-2025,Canva payment for software rate,45928.48,Canva,Software
TXN0095,09-12-2025,Dominos payment for meals thousand,44970.18,Dominos,Meals
TXN0096,09-12-2025,Adobe payment for software test,4403.64,Adobe,Software
TXN0097,09-12-2025,Dominos payment for meals if,19701.18,Dominos,Meals
TXN0098,09-12-2025,Airtel payment for utilities however,46208.87,Airtel,Utilities
TXN0099,09-12-2025,Zomato payment for meals might,33522.7,Zomato,Meals
TXN0100,09-12-2025,Uber payment for travel free,5779.5,Uber,Travel
TXN0101,09-12-2025,Zomato payment for meals they,3220.44,Zomato,Meals
TXN0102,09-12-2025,Dominos payment for meals member,18332.03,Dominos,Meals
TXN0103,09-12-2025,Office Depot payment for office supplies speak,47626.04,Office Depot,Office Supplies
TXN0104,09-12-2025,Adobe payment for software building,32933.74,Adobe,Software
TXN0105,09-12-2025,Dominos payment for meals camera,10807.96,Dominos,Meals
TXN0106,09-12-2025,Awfis payment for rent gas,23421.05,Awfis,Rent
TXN0107,09-12-2025,WeWork payment for rent against,35202.68,WeWork,Rent
TXN0108,09-12-2025,KSEB payment for utilities enter,12517.63,KSEB,Utilities
TXN0109,09-12-2025,Staples payment for office supplies upon,21890.3,Staples,Office Supplies
TXN0110,09-12-2025,Ola payment for travel organization,16983.84,Ola,Travel
TXN0111,09-12-2025,Office Depot payment for office supplies trial,29546.23,Office Depot,Office Supplies
TXN0112,09-12-2025,WeWork payment for rent few,16585.97,WeWork,Rent
TXN0113,09-12-2025,Adobe payment for software face,35582.62,Adobe,Software
TXN0114,09-12-2025,IKEA payment for office supplies these,49808.25,IKEA,Office Supplies
TXN0115,09-12-2025,Rapido payment for travel against,36474.91,Rapido,Travel
TXN0116,09-12-2025,Uber payment for travel traditional,7490.07,Uber,Travel
TXN0117,09-12-2025,Awfis payment for rent road,31798.63,Awfis,Rent
TXN0118,09-12-2025,AWS payment for it services show,22820.63,AWS,IT Services
TXN0119,09-12-2025,Azure payment for it services cell,30914.29,Azure,IT Services
TXN0120,09-12-2025,Azure payment for it services happy,26849.91,Azure,IT Services
TXN0121,09-12-2025,Uber payment for travel gun,13929.04,Uber,Travel
TXN0122,09-12-2025,Airtel payment for utilities that,4658.84,Airtel,Utilities
TXN0123,09-12-2025,Awfis payment for rent last,11800.02,Awfis,Rent
TXN0124,09-12-2025,Rapido payment for travel talk,24100.98,Rapido,Travel
TXN0125,09-12-2025,JioFiber payment for utilities stage,41211.15,JioFiber,Utilities
TXN0126,09-12-2025,Swiggy payment for meals radio,17016.28,Swiggy,Meals
TXN0127,09-12-2025,Uber payment for travel if,15066.14,Uber,Travel
TXN0128,09-12-2025,JioFiber payment for utilities right,47061.5,JioFiber,Utilities
TXN0129,09-12-2025,Rapido payment for travel hundred,46882.77,Rapido,Travel
TXN0130,09-12-2025,Canva payment for software against,26619.03,Canva,Software
TXN0131,09-12-2025,Zomato payment for meals since,24143.54,Zomato,Meals
TXN0132,09-12-2025,Zomato payment for meals brother,33323.07,Zomato,Meals
TXN0133,09-12-2025,AWS payment for it services me,46843.69,AWS,IT Services
TXN0134,09-12-2025,Rapido payment for travel market,30473.59,Rapido,Travel
TXN0135,09-12-2025,Google Cloud payment for it services attack,44495.44,Google Cloud,IT Services
TXN0136,09-12-2025,Staples payment for office supplies teach,35261.22,Staples,Office Supplies
TXN0137,09-12-2025,Airtel payment for utilities learn,48401.1,Airtel,Utilities
TXN0138,09-12-2025,Dominos payment for meals manage,16033.95,Dominos,Meals
TXN0139,09-12-2025,Google Cloud payment for it services manager,43492.41,Google Cloud,IT Services
TXN0140,09-12-2025,Swiggy payment for meals ago,4095.82,Swiggy,Meals
TXN0141,09-12-2025,Awfis payment for rent performance,30428.92,Awfis,Rent
TXN0142,09-12-2025,KSEB payment for utilities ahead,40899.71,KSEB,Utilities
TXN0143,09-12-2025,Uber payment for travel brother,39844.16,Uber,Travel
TXN0144,09-12-2025,KSEB payment for utilities day,49716.44,KSEB,Utilities
TXN0145,09-12-2025,Awfis payment for rent radio,2303.87,Awfis,Rent
TXN0146,09-12-2025,Staples payment for office supplies eight,29375.08,Staples,Office Supplies
TXN0147,09-12-2025,Google Cloud payment for it services raise,46880.74,Google Cloud,IT Services
TXN0148,09-12-2025,Azure payment for it services oil,22364.96,Azure,IT Services
TXN0149,09-12-2025,Dominos payment for meals pattern,27766.43,Dominos,Meals
TXN0150,09-12-2025,Dominos payment for meals rather,18632.54,Dominos,Meals
TXN0151,09-12-2025,Google Cloud payment for it services father,6060.25,Google Cloud,IT Services
TXN0152,09-12-2025,Azure payment for it services on,30732.39,Azure,IT Services
TXN0153,09-12-2025,Rapido payment for travel surface,12965.82,Rapido,Travel
TXN0154,09-12-2025,WeWork payment for rent have,31131.1,WeWork,Rent
TXN0155,09-12-2025,KSEB payment for utilities together,31057.09,KSEB,Utilities
TXN0156,09-12-2025,KSEB payment for utilities girl,37871.98,KSEB,Utilities
TXN0157,09-12-2025,Rapido payment for travel this,36098.63,Rapido,Travel
TXN0158,09-12-2025,Rapido payment for travel admit,32484.7,Rapido,Travel
TXN0159,09-12-2025,Zomato payment for meals me,42575.1,Zomato,Meals
TXN0160,09-12-2025,Figma payment for software son,36991.96,Figma,Software
TXN0161,09-12-2025,Dominos payment for meals note,1445.82,Dominos,Meals
TXN0162,09-12-2025,WeWork payment for rent ground,41104.56,WeWork,Rent
TXN0163,09-12-2025,Azure payment for it services his,37390.84,Azure,IT Services
TXN0164,09-12-2025,Canva payment for software bank,29402.3,Canva,Software
TXN0165,09-12-2025,KSEB payment for utilities sometimes,30208.58,KSEB,Utilities
TXN0166,09-12-2025,Dominos payment for meals apply,16496.06,Dominos,Meals
TXN0167,09-12-2025,AWS payment for it services modern,22464.75,AWS,IT Services
TXN0168,09-12-2025,Dominos payment for meals true,14383.29,Dominos,Meals
TXN0169,09-12-2025,IKEA payment for office supplies although,10556.44,IKEA,Office Supplies
TXN0170,09-12-2025,Swiggy payment for meals opportunity,28318.55,Swiggy,Meals
TXN0171,09-12-2025,Swiggy payment for meals coach,12101.97,Swiggy,Meals
TXN0172,09-12-2025,WeWork payment for rent wear,15478.01,WeWork,Rent
TXN0173,09-12-2025,Zomato payment for meals first,10170.15,Zomato,Meals
TXN0174,09-12-2025,Figma payment for software if,43729.81,Figma,Software
TXN0175,09-12-2025,KSEB payment for utilities enough,7112.77,KSEB,Utilities
TXN0176,09-12-2025,Adobe payment for software glass,44477.77,Adobe,Software
TXN0177,09-12-2025,AWS payment for it services lead,17565.6,AWS,IT Services
TXN0178,09-12-2025,Zomato payment for meals offer,45349.1,Zomato,Meals
TXN0179,09-12-2025,Staples payment for office supplies bag,48721.85,Staples,Office Supplies
TXN0180,09-12-2025,Office Depot payment for office supplies some,27633.48,Office Depot,Office Supplies
TXN0181,09-12-2025,Google Cloud payment for it services several,33791.19,Google Cloud,IT Services
TXN0182,09-12-2025,Rapido payment for travel industry,39794,Rapido,Travel
TXN0183,09-12-2025,Rapido payment for travel animal,17944.33,Rapido,Travel
TXN0184,09-12-2025,Dominos payment for meals yard,22520.04,Dominos,Meals
TXN0185,09-12-2025,Ola payment for travel air,34243.8,Ola,Travel
TXN0186,09-12-2025,Figma payment for software money,45055.6,Figma,Software
TXN0187,09-12-2025,Swiggy payment for meals buy,11628.19,Swiggy,Meals
TXN0188,09-12-2025,Office Depot payment for office supplies own,41281.99,Office Depot,Office Supplies
TXN0189,09-12-2025,Azure payment for it services exist,49530.22,Azure,IT Services
TXN0190,09-12-2025,Swiggy payment for meals agreement,35450.19,Swiggy,Meals
TXN0191,09-12-2025,Zomato payment for meals part,48295.33,Zomato,Meals
TXN0192,09-12-2025,Awfis payment for rent election,31851.35,Awfis,Rent
TXN0193,09-12-2025,Office Depot payment for office supplies ability,20050.45,Office Depot,Office Supplies
TXN0194,09-12-2025,Staples payment for office supplies on,42911.64,Staples,Office Supplies
TXN0195,09-12-2025,Staples payment for office supplies news,27523.95,Staples,Office Supplies
TXN0196,09-12-2025,Ola payment for travel strong,20823.58,Ola,Travel
TXN0197,09-12-2025,Rapido payment for travel maybe,13567.62,Rapido,Travel
TXN0198,09-12-2025,Airtel payment for utilities main,12186.14,Airtel,Utilities
TXN0199,09-12-2025,Dominos payment for meals fire,26971.17,Dominos,Meals
TXN0200,09-12-2025,Swiggy payment for meals commercial,39593.52,Swiggy,Meals
TXN0201,09-12-2025,Figma payment for software thank,6457.67,Figma,Software
TXN0202,09-12-2025,IKEA payment for office supplies step,15064.08,IKEA,Office Supplies
TXN0203,09-12-2025,JioFiber payment for utilities discussion,27721.56,JioFiber,Utilities
TXN0204,09-12-2025,Awfis payment for rent always,36744.12,Awfis,Rent
TXN0205,09-12-2025,AWS payment for it services country,7607.42,AWS,IT Services
TXN0206,09-12-2025,Airtel payment for utilities sense,5867.44,Airtel,Utilities
TXN0207,09-12-2025,Office Depot payment for office supplies exactly,31036.08,Office Depot,Office Supplies
TXN0208,09-12-2025,Adobe payment for software price,45073.58,Adobe,Software
TXN0209,09-12-2025,Dominos payment for meals page,13714.97,Dominos,Meals
TXN0210,09-12-2025,AWS payment for it services travel,40812.09,AWS,IT Services
TXN0211,09-12-2025,KSEB payment for utilities human,30743.56,KSEB,Utilities
TXN0212,09-12-2025,Swiggy payment for meals campaign,40356.82,Swiggy,Meals
TXN0213,09-12-2025,Adobe payment for software do,23011.43,Adobe,Software
TXN0214,09-12-2025,IndiQube payment for rent product,10284.08,IndiQube,Rent
TXN0215,09-12-2025,IndiQube payment for rent laugh,29498.01,IndiQube,Rent
TXN0216,09-12-2025,Dominos payment for meals fact,18799.96,Dominos,Meals
TXN0217,09-12-2025,JioFiber payment for utilities great,33859.06,JioFiber,Utilities
TXN0218,09-12-2025,Canva payment for software role,15533.74,Canva,Software
TXN0219,09-12-2025,Canva payment for software day,10593.83,Canva,Software
TXN0220,09-12-2025,Zomato payment for meals around,4200.67,Zomato,Meals
TXN0221,09-12-2025,Rapido payment for travel too,21990.92,Rapido,Travel
TXN0222,09-12-2025,Airtel payment for utilities window,46350.45,Airtel,Utilities
TXN0223,09-12-2025,KSEB payment for utilities answer,41029.46,KSEB,Utilities
TXN0224,09-12-2025,Airtel payment for utilities argue,15390.81,Airtel,Utilities
TXN0225,09-12-2025,Adobe payment for software star,23791.14,Adobe,Software
TXN0226,09-12-2025,JioFiber payment for utilities half,33843.58,JioFiber,Utilities
TXN0227,09-12-2025,Ola payment for travel Democrat,23350.28,Ola,Travel
TXN0228,09-12-2025,Dominos payment for meals require,10088.38,Dominos,Meals
TXN0229,09-12-2025,Figma payment for software read,28548.44,Figma,Software
TXN0230,09-12-2025,Dominos payment for meals mother,6268.11,Dominos,Meals
TXN0231,09-12-2025,Rapido payment for travel talk,15042.34,Rapido,Travel
TXN0232,09-12-2025,Ola payment for travel technology,37356.33,Ola,Travel
TXN0233,09-12-2025,Uber payment for travel easy,27635.35,Uber,Travel
TXN0234,09-12-2025,WeWork payment for rent already,20096.44,WeWork,Rent
TXN0235,09-12-2025,Office Depot payment for office supplies prevent,34366.85,Office Depot,Office Supplies
TXN0236,09-12-2025,Uber payment for travel course,15497.54,Uber,Travel
TXN0237,09-12-2025,Azure payment for it services sea,12295.78,Azure,IT Services
TXN0238,09-12-2025,Canva payment for software leader,42267.56,Canva,Software
TXN0239,09-12-2025,Office Depot payment for office supplies space,23690.62,Office Depot,Office Supplies
TXN0240,09-12-2025,AWS payment for it services never,16112.18,AWS,IT Services
TXN0241,09-12-2025,AWS payment for it services American,2759.84,AWS,IT Services
TXN0242,09-12-2025,IndiQube payment for rent indicate,44890.64,IndiQube,Rent
TXN0243,09-12-2025,Azure payment for it services front,49380.92,Azure,IT Services
TXN0244,09-12-2025,AWS payment for it services I,35730.17,AWS,IT Services
TXN0245,09-12-2025,Ola payment for travel better,39229.07,Ola,Travel
TXN0246,09-12-2025,IKEA payment for office supplies cause,25299.78,IKEA,Office Supplies
TXN0247,09-12-2025,Zomato payment for meals these,30259.39,Zomato,Meals
TXN0248,09-12-2025,AWS payment for it services item,7473.62,AWS,IT Services
TXN0249,09-12-2025,Uber payment for travel before,39877.35,Uber,Travel
TXN0250,09-12-2025,Rapido payment for travel where,42710.62,Rapido,Travel
TXN0251,09-12-2025,Azure payment for it services name,1092.7,Azure,IT Services
TXN0252,09-12-2025,WeWork payment for rent wall,49216.92,WeWork,Rent
TXN0253,09-12-2025,IndiQube payment for rent relationship,2387.43,IndiQube,Rent
TXN0254,09-12-2025,Uber payment for travel kitchen,17353.3,Uber,Travel
TXN0255,09-12-2025,Ola payment for travel present,12314.58,Ola,Travel
TXN0256,09-12-2025,Google Cloud payment for it services prove,6534.36,Google Cloud,IT Services
TXN0257,09-12-2025,Figma payment for software institution,40118.64,Figma,Software
TXN0258,09-12-2025,Swiggy payment for meals move,22207.01,Swiggy,Meals
TXN0259,09-12-2025,Figma payment for software Mr,9539.73,Figma,Software
TXN0260,09-12-2025,Canva payment for software strategy,16709.83,Canva,Software
TXN0261,09-12-2025,Dominos payment for meals campaign,30331.61,Dominos,Meals
TXN0262,09-12-2025,KSEB payment for utilities million,21975.13,KSEB,Utilities
TXN0263,09-12-2025,JioFiber payment for utilities respond,37704.85,JioFiber,Utilities
TXN0264,09-12-2025,Swiggy payment for meals create,7369.3,Swiggy,Meals
TXN0265,09-12-2025,Ola payment for travel wait,42074.8,Ola,Travel
TXN0266,09-12-2025,Figma payment for software road,26455.1,Figma,Software
TXN0267,09-12-2025,Ola payment for travel artist,16249.05,Ola,Travel
TXN0268,09-12-2025,Office Depot payment for office supplies mouth,8713.15,Office Depot,Office Supplies
TXN0269,09-12-2025,Azure payment for it services reach,39609.19,Azure,IT Services
TXN0270,09-12-2025,Staples payment for office supplies water,40110.71,Staples,Office Supplies
TXN0271,09-12-2025,Dominos payment for meals central,353.73,Dominos,Meals
TXN0272,09-12-2025,Google Cloud payment for it services or,28900.91,Google Cloud,IT Services
TXN0273,09-12-2025,Ola payment for travel sea,9895.9,Ola,Travel
TXN0274,09-12-2025,JioFiber payment for utilities would,44847.19,JioFiber,Utilities
TXN0275,09-12-2025,Uber payment for travel nation,10241.19,Uber,Travel
TXN0276,09-12-2025,Uber payment for travel but,9115.97,Uber,Travel
TXN0277,09-12-2025,Zomato payment for meals indeed,27001.13,Zomato,Meals
TXN0278,09-12-2025,KSEB payment for utilities former,41692.47,KSEB,Utilities
TXN0279,09-12-2025,AWS payment for it services site,14734.41,AWS,IT Services
TXN0280,09-12-2025,AWS payment for it services future,49066.73,AWS,IT Services
TXN0281,09-12-2025,Awfis payment for rent among,1787.21,Awfis,Rent
TXN0282,09-12-2025,Zomato payment for meals see,14528.66,Zomato,Meals
TXN0283,09-12-2025,Office Depot payment for office supplies safe,17346.23,Office Depot,Office Supplies
TXN0284,09-12-2025,IndiQube payment for rent break,43705.48,IndiQube,Rent
TXN0285,09-12-2025,IndiQube payment for rent write,28996.08,IndiQube,Rent
TXN0286,09-12-2025,IKEA payment for office supplies truth,26715.39,IKEA,Office Supplies
TXN0287,09-12-2025,AWS payment for it services strategy,24183.15,AWS,IT Services
TXN0288,09-12-2025,IKEA payment for office supplies surface,2099.86,IKEA,Office Supplies
TXN0289,09-12-2025,Rapido payment for travel us,39380,Rapido,Travel
TXN0290,09-12-2025,Office Depot payment for office supplies indicate,16389.75,Office Depot,Office Supplies
TXN0291,09-12-2025,Canva payment for software company,43623.35,Canva,Software
TXN0292,09-12-2025,Staples payment for office supplies popular,12526.52,Staples,Office Supplies
TXN0293,09-12-2025,Google Cloud payment for it services factor,46994,Google Cloud,IT Services
TXN0294,09-12-2025,Swiggy payment for meals official,21099.17,Swiggy,Meals
TXN0295,09-12-2025,Figma payment for software reality,3581.49,Figma,Software
TXN0296,09-12-2025,KSEB payment for utilities nation,31411.04,KSEB,Utilities
TXN0297,09-12-2025,AWS payment for it services daughter,10862.05,AWS,IT Services
TXN0298,09-12-2025,JioFiber payment for utilities left,2905.04,JioFiber,Utilities
TXN0299,09-12-2025,Adobe payment for software western,22699.82,Adobe,Software
TXN0300,09-12-2025,JioFiber payment for utilities out,9962.6,JioFiber,Utilities
TXN0301,09-12-2025,Office Depot payment for office supplies stock,36308.94,Office Depot,Office Supplies
TXN0302,09-12-2025,Ola payment for travel rise,41542.25,Ola,Travel
TXN0303,09-12-2025,IKEA payment for office supplies world,44572.13,IKEA,Office Supplies
TXN0304,09-12-2025,WeWork payment for rent process,25654.15,WeWork,Rent
TXN0305,09-12-2025,Office Depot payment for office supplies side,20064.32,Office Depot,Office Supplies
TXN0306,09-12-2025,IKEA payment for office supplies goal,16165.55,IKEA,Office Supplies
TXN0307,09-12-2025,Azure payment for it services thousand,11387.67,Azure,IT Services
TXN0308,09-12-2025,WeWork payment for rent no,19858.21,WeWork,Rent
TXN0309,09-12-2025,Dominos payment for meals beat,2414.17,Dominos,Meals
TXN0310,09-12-2025,Rapido payment for travel offer,9077.14,Rapido,Travel
TXN0311,09-12-2025,Zomato payment for meals perhaps,9813.47,Zomato,Meals
TXN0312,09-12-2025,Zomato payment for meals image,21420.14,Zomato,Meals
TXN0313,09-12-2025,Google Cloud payment for it services section,25163.35,Google Cloud,IT Services
TXN0314,09-12-2025,Awfis payment for rent thing,10784.07,Awfis,Rent
TXN0315,09-12-2025,WeWork payment for rent clear,26013.28,WeWork,Rent
TXN0316,09-12-2025,KSEB payment for utilities note,44914.52,KSEB,Utilities
TXN0317,09-12-2025,Rapido payment for travel chance,1133.52,Rapido,Travel
TXN0318,09-12-2025,Canva payment for software test,13827.53,Canva,Software
TXN0319,09-12-2025,Rapido payment for travel heavy,23172,Rapido,Travel
TXN0320,09-12-2025,Azure payment for it services billion,28599.72,Azure,IT Services
TXN0321,09-12-2025,Dominos payment for meals the,13035.31,Dominos,Meals
TXN0322,09-12-2025,Figma payment for software tough,21640.69,Figma,Software
TXN0323,09-12-2025,Google Cloud payment for it services movement,21879.9,Google Cloud,IT Services
TXN0324,09-12-2025,KSEB payment for utilities least,24254.59,KSEB,Utilities
TXN0325,09-12-2025,Rapido payment for travel discuss,8824.68,Rapido,Travel
TXN0326,09-12-2025,IndiQube payment for rent same,25182.84,IndiQube,Rent
TXN0327,09-12-2025,Figma payment for software company,393.04,Figma,Software
TXN0328,09-12-2025,IKEA payment for office supplies together,41145.85,IKEA,Office Supplies
TXN0329,09-12-2025,Figma payment for software able,40118.78,Figma,Software
TXN0330,09-12-2025,KSEB payment for utilities cell,25340.04,KSEB,Utilities
TXN0331,09-12-2025,JioFiber payment for utilities guess,34659.37,JioFiber,Utilities
TXN0332,09-12-2025,Zomato payment for meals boy,10147.22,Zomato,Meals
TXN0333,09-12-2025,Azure payment for it services current,1472,Azure,IT Services
TXN0334,09-12-2025,Staples payment for office supplies agent,2987.08,Staples,Office Supplies
TXN0335,09-12-2025,Staples payment for office supplies whole,47801.01,Staples,Office Supplies
TXN0336,09-12-2025,Figma payment for software degree,39307.64,Figma,Software
TXN0337,09-12-2025,Adobe payment for software anything,2475.94,Adobe,Software
TXN0338,09-12-2025,Azure payment for it services follow,42228.61,Azure,IT Services
TXN0339,09-12-2025,Zomato payment for meals action,41653.01,Zomato,Meals
TXN0340,09-12-2025,Adobe payment for software necessary,24517.92,Adobe,Software
TXN0341,09-12-2025,Ola payment for travel weight,14931.57,Ola,Travel
TXN0342,09-12-2025,Zomato payment for meals political,19088.61,Zomato,Meals
TXN0343,09-12-2025,IndiQube payment for rent close,19932.01,IndiQube,Rent
TXN0344,09-12-2025,Figma payment for software never,16034.92,Figma,Software
TXN0345,09-12-2025,Awfis payment for rent leader,33828.03,Awfis,Rent
TXN0346,09-12-2025,Google Cloud payment for it services rate,11146.69,Google Cloud,IT Services
TXN0347,09-12-2025,AWS payment for it services sure,34876.91,AWS,IT Services
TXN0348,09-12-2025,Canva payment for software fund,12890.14,Canva,Software
TXN0349,09-12-2025,Ola payment for travel hour,18673.41,Ola,Travel
TXN0350,09-12-2025,Google Cloud payment for it services quite,33475.89,Google Cloud,IT Services
TXN0351,09-12-2025,Google Cloud payment for it services store,39234.01,Google Cloud,IT Services
TXN0352,09-12-2025,KSEB payment for utilities store,45217.2,KSEB,Utilities
TXN0353,09-12-2025,Dominos payment for meals generation,2562.21,Dominos,Meals
TXN0354,09-12-2025,KSEB payment for utilities watch,24599.05,KSEB,Utilities
TXN0355,09-12-2025,Office Depot payment for office supplies sea,26012.74,Office Depot,Office Supplies
